cache,channelmin,channelmax,publishedperformance,estimatedperformance,cresult,dresult
256,16,128,198,199,c,199
32,8,32,269,253,c,253
32,8,32,220,253,c,253
32,8,32,172,253,c,253
32,8,16,132,132,e,113
64,8,32,318,290,c,253
64,16,32,367,381,b,80
64,16,32,489,381,b,80
64,16,32,636,749,b,80
128,32,64,1144,1238,d,199
0,1,2,38,23,a,17
4,1,6,40,24,a,28
65,1,8,92,70,a,20
65,1,8,138,117,e,20
0,1,4,10,15,a,34
0,4,32,35,64,a,23
8,4,15,19,23,a,23
0,7,32,28,29,a,23
0,5,16,31,22,a,23
142,8,64,120,124,e,33
0,5,32,30,35,a,23
0,5,20,33,39,a,23
0,6,64,61,40,a,30
0,6,64,76,45,a,30
0,1,12,23,28,a,20
4,1,3,69,21,a,24
0,1,6,33,28,a,28
4,1,3,27,22,a,24
4,1,5,77,28,a,28
4,1,6,27,27,a,28
131,12,24,274,102,e,74
131,12,24,368,102,c,74
30,12,24,32,74,a,74
30,12,24,63,74,a,74
30,12,24,106,138,e,74
30,12,24,208,136,e,74
8,1,4,20,23,a,34
8,1,5,29,29,a,28
8,1,5,71,44,a,28
8,3,5,26,30,a,28
8,3,5,36,41,a,28
8,3,5,40,74,a,28
8,3,6,52,74,a,28
8,3,6,60,74,a,28
9,3,12,72,54,a,20
9,3,12,72,41,a,20
8,1,1,18,18,a,18
0,1,1,20,28,a,18
4,1,5,40,36,a,28
8,1,8,62,38,a,20
0,1,1,24,34,a,18
0,1,1,24,19,a,18
16,1,3,138,72,e,24
0,1,2,36,36,a,17
16,1,2,26,30,a,17
16,1,2,60,56,a,17
16,1,2,71,42,a,17
0,1,4,12,34,a,34
0,1,4,14,34,a,34
0,1,4,20,34,a,34
0,1,4,16,34,a,34
0,1,4,22,34,a,34
0,8,20,36,19,a,19
64,1,38,144,75,e,20
64,1,38,144,113,e,20
128,1,38,259,157,c,20
0,3,10,17,18,a,20
0,3,10,26,20,a,20
0,3,24,32,28,a,20
8,3,19,32,33,a,20
8,3,24,62,47,a,20
8,3,48,64,54,a,20
0,3,24,22,20,a,20
0,6,24,36,23,a,23
6,6,24,44,25,a,23
6,6,24,50,52,a,23
0,1,24,45,27,a,20
6,1,24,53,50,a,20
6,6,24,36,18,a,23
6,1,31,84,53,a,20
0,2,4,16,23,a,23
8,3,64,38,30,a,30
8,2,112,38,73,a,73
0,1,2,16,20,a,17
0,3,6,22,25,a,28
0,3,6,29,28,a,28
0,4,8,40,29,a,23
8,1,20,35,32,a,20
32,1,20,134,175,e,20
32,1,54,66,57,a,181
32,1,54,141,181,e,181
32,1,54,189,181,e,181
8,1,20,22,32,a,20
1,6,12,132,82,e,23
64,12,16,237,171,c,171
64,16,24,465,361,b,74
64,8,24,465,350,b,19
0,8,24,277,220,c,19
0,8,16,185,113,e,113
0,1,1,6,15,a,18
0,1,5,24,21,a,28
16,1,6,45,35,a,28
0,1,1,7,18,a,18
0,1,1,13,20,a,18
0,1,1,16,20,a,18
0,1,1,32,28,a,18
0,1,1,32,45,a,18
0,1,2,11,18,a,17
0,1,2,11,17,a,17
4,1,2,18,26,a,17
8,1,2,22,28,a,17
0,3,6,37,28,a,28
8,3,6,40,31,a,28
8,3,6,34,31,a,28
8,1,6,50,42,a,28
16,1,6,76,76,a,28
16,1,6,66,76,a,28
2,3,6,24,26,a,28
8,1,4,49,59,a,34
16,3,5,66,65,a,28
8,6,12,100,101,e,23
32,6,12,133,116,e,23
0,0,0,12,18,a,20
0,0,0,18,20,a,20
0,0,0,20,20,a,20
0,3,6,27,30,a,28
8,3,6,45,44,a,28
8,1,6,56,44,a,28
24,1,6,70,82,a,28
24,1,6,80,82,a,28
48,1,10,136,128,e,20
0,2,6,16,37,a,28
24,2,6,26,46,a,28
24,3,6,32,46,a,28
12,3,16,45,80,a,20
24,6,16,54,88,a,23
24,6,16,65,88,a,23
0,8,128,30,33,a,33
16,1,3,50,46,a,24
2,1,5,40,29,a,28
32,1,6,62,53,a,28
32,1,6,60,53,a,28
4,1,6,50,41,a,28
16,1,6,66,86,a,28
32,1,6,86,95,e,28
64,5,8,74,107,e,23
64,5,8,93,117,e,23
64,5,10,111,119,e,23
64,8,16,143,120,e,113
16,6,8,105,48,a,23
32,8,16,214,126,e,113
64,8,24,277,266,c,19
64,8,24,370,270,c,19
128,16,32,510,426,b,80
32,8,24,214,151,e,19
64,8,24,326,267,c,19
256,16,24,510,603,b,74
0,1,4,8,19,a,34
0,1,6,12,21,a,28
0,1,6,17,26,a,28
0,1,8,21,35,a,20
0,1,8,24,41,a,20
0,1,8,34,47,a,20
0,1,8,42,62,a,20
0,1,8,46,78,a,20
32,16,32,51,80,a,80
32,16,32,116,80,e,80
64,4,8,100,142,e,23
160,4,8,140,281,c,23
128,16,32,212,190,c,80
0,1,2,25,21,a,17
0,1,4,30,25,a,34
64,1,5,41,67,a,28
0,1,7,25,24,a,24
0,4,7,50,24,a,24
1,1,8,50,64,a,20
2,1,5,30,25,a,28
2,3,8,32,20,a,20
8,1,14,38,29,a,20
16,1,14,60,43,a,20
32,1,13,109,53,a,20
8,1,3,6,19,a,24
8,1,5,11,22,a,28
8,3,8,22,31,a,20
16,6,16,33,41,a,23
16,4,14,58,47,a,23
32,4,12,130,99,e,23
8,6,8,75,67,a,23
32,6,12,113,81,e,23
64,12,24,188,149,e,74
32,8,16,173,183,e,113
64,12,16,248,275,c,171
128,24,32,405,382,b,80
32,5,28,70,56,a,23
24,6,26,114,182,e,23
48,26,52,208,227,c,199
112,52,104,307,341,c,199
112,52,104,397,360,b,199
96,12,176,915,919,d,199
128,12,176,1150,978,d,199
0,1,3,12,24,a,24
0,1,3,14,24,a,24
0,1,3,18,24,a,24
0,1,3,21,24,a,24
0,1,8,42,37,a,20
32,2,8,46,50,a,20
0,2,14,52,41,a,20
32,0,0,67,47,a,20
0,0,0,45,25,a,20
